Workers,Serial,OpenMP,POSIX,MPI,CUDA,Hybrid
1,43.2702,,42.9814,42.1427,,12.1134
2,48.8159,,65.0246,32.4477,,8.944
4,51.119,,92.0575,22.1525,,5.8719
6,51.3318,,108.0818,16.7743,,3.3642
