Workers,Serial,OpenMP,POSIX,MPI,CUDA,Hybrid
1,0.1559,,0.1414,0.1575,,0.0544
2,0.1651,,0.1928,0.0809,,0.0478
4,0.1445,,0.2328,0.063,,0.0261
6,0.1518,,0.3133,0.0468,,0.0407
